Id,Year,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Player_Type,Position_Type,Position,Drafted
0,2013,22.0,Alabama,1.905,146.5103355,4.94,,30.0,,,,defense,defensive_lineman,DT,1
1,2018,21.0,Arizona St.,1.8796,110.6765383,4.75,81.28,28.0,289.56,7.03,4.25,defense,line_backer,ILB,1
2,2014,23.0,Florida St.,1.9304,142.8815966,5.44,,,,,,offense,offensive_lineman,C,1
3,2009,22.0,USC,1.8796,102.965468,4.57,,25.0,,,,special_teams,kicking_specialist,K,1
4,2018,22.0,Iowa,1.778,87.99691978,4.54,81.28,12.0,,,,offense,backs_receivers,RB,0
5,2015,22.0,Ohio St.,1.778,90.718474,4.44,83.82,21.0,294.64,,4.33,defense,defensive_back,CB,1
6,2014,23.0,Northwest Missouri State,1.8034,92.07925111,4.41,82.55,17.0,297.18,7.15,4.27,defense,defensive_back,CB,1
7,2010,,Missouri,1.9304,138.3456729,5.31,64.77,26.0,231.14,7.62,4.93,offense,offensive_lineman,OG,0
8,2017,21.0,Washington,1.778,88.45051215,4.45,82.55,15.0,292.1,6.76,4.08,defense,defensive_back,FS,1
9,2015,21.0,Louisville,1.9304,146.5103355,5.08,,,,,,offense,offensive_lineman,OT,1
10,2013,,Hawaii,1.7526,85.72895793,4.56,91.44,14.0,314.96,6.94,4.18,defense,defensive_back,CB,0
11,2016,21.0,Indiana,1.9304,141.0672271,5.32,73.66,,254.0,7.76,4.63,defense,defensive_lineman,DT,0
12,2009,,Colorado,1.9304,149.2318897,5.12,71.12,27.0,276.86,7.89,4.97,defense,defensive_lineman,DT,0
13,2009,22.0,Norfolk St.,1.8034,87.08973504,4.49,,18.0,,,,defense,defensive_back,CB,1
14,2009,23.0,Purdue,1.8034,94.34721296,4.39,93.98,15.0,307.34,7.18,4.39,offense,backs_receivers,RB,0
15,2009,22.0,North Carolina St.,1.8288,101.6046909,4.37,93.98,24.0,292.1,7.35,4.33,offense,backs_receivers,RB,1
16,2014,22.0,Ohio St.,1.905,134.2633415,5.24,68.58,36.0,,,,offense,offensive_lineman,C,1
17,2014,23.0,Massachusetts,1.9304,116.1196467,4.82,,,,,,offense,backs_receivers,TE,1
18,2009,23.0,Missouri,1.8288,100.2439138,4.49,93.98,16.0,312.42,6.81,4.26,defense,defensive_back,SS,1
19,2017,22.0,LSU,1.9558,113.3980925,4.82,80.01,20.0,307.34,7.2,4.37,defense,line_backer,OLB,0
20,2010,21.0,Alabama,1.778,88.90410452,4.4,95.25,13.0,299.72,6.92,4.14,defense,defensive_back,CB,1
21,2017,23.0,Utah,1.8034,95.2543977,4.41,88.9,14.0,317.5,7.19,4.19,offense,backs_receivers,RB,1
22,2017,,Florida,1.905,120.2019781,4.89,67.31,16.0,276.86,7.36,4.46,defense,defensive_lineman,DE,0
23,2016,22.0,Missouri,1.9304,138.7992652,5.11,83.82,33.0,276.86,7.5,4.65,offense,offensive_lineman,OG,1
24,2017,20.0,Florida,1.8542,95.70799007,4.54,81.28,14.0,299.72,6.86,4.02,defense,defensive_back,CB,1
25,2013,22.0,Houston,1.8034,86.63614267,4.4,,,,,,defense,defensive_back,CB,1
26,2010,22.0,Notre Dame,2.032,143.3351889,5.2,74.93,29.0,264.16,7.73,4.87,offense,offensive_lineman,OT,1
27,2009,22.0,Wake Forest,1.8796,115.212462,4.52,93.98,25.0,314.96,7.15,4.51,defense,line_backer,OLB,1
28,2015,22.0,San Diego St.,1.8288,98.88313666,4.68,69.85,17.0,279.4,7.35,4.58,offense,backs_receivers,WR,0
29,2017,21.0,East Carolina,1.8796,91.17206637,4.45,92.71,15.0,337.82,6.79,4.01,offense,backs_receivers,WR,1
30,2014,21.0,Louisville,1.8796,97.06876718,,76.2,,287.02,7.17,4.2,offense,backs_receivers,QB,1
31,2014,21.0,Rutgers,1.9812,102.0582833,4.56,82.55,21.0,,7.33,4.51,offense,backs_receivers,WR,0
32,2010,21.0,South Florida,1.9558,122.4699399,4.71,77.47,19.0,292.1,7.18,4.67,defense,defensive_lineman,DE,1
33,2012,22.0,Wisconsin,1.8288,108.4085764,4.73,92.71,14.0,304.8,7.14,4.16,offense,backs_receivers,FB,1
