iter	Passed	Remaining
0	1	1959
1	3	2262
2	4	2239
3	5	2192
4	7	2110
5	8	2151
6	10	2152
7	11	2191
8	13	2222
9	14	2167
10	16	2182
11	17	2207
12	19	2197
13	20	2170
14	21	2161
15	23	2198
16	25	2236
17	27	2243
18	28	2241
19	29	2216
20	31	2201
21	32	2211
22	34	2204
23	35	2202
24	37	2193
25	38	2195
26	40	2201
27	41	2192
28	42	2180
29	44	2171
30	46	2184
31	47	2175
32	48	2170
33	49	2155
34	51	2148
35	53	2160
36	54	2154
37	56	2159
38	57	2154
39	58	2133
40	59	2126
41	61	2140
42	63	2141
43	64	2139
44	66	2139
45	67	2135
46	68	2132
47	70	2127
48	71	2125
49	73	2122
50	74	2127
51	76	2132
52	78	2133
53	79	2130
54	81	2128
55	82	2124
56	83	2122
57	85	2119
58	86	2123
59	88	2112
60	89	2106
61	90	2100
62	92	2104
63	94	2118
64	95	2118
65	97	2109
66	98	2108
67	99	2105
68	101	2098
69	102	2097
70	103	2091
71	105	2093
72	106	2087
73	108	2087
74	109	2086
75	110	2073
76	112	2071
77	113	2069
78	114	2065
79	116	2063
80	117	2059
81	119	2058
82	120	2060
83	122	2063
84	124	2064
85	125	2065
86	127	2073
87	129	2073
88	130	2070
89	132	2068
90	133	2070
91	135	2068
92	136	2058
93	137	2053
94	138	2050
95	140	2049
96	141	2047
97	143	2048
98	144	2042
99	145	2037
100	146	2035
101	148	2031
102	149	2030
103	151	2028
104	152	2027
105	154	2025
106	155	2022
107	156	2022
108	158	2022
109	159	2015
110	160	2012
111	162	2009
112	163	2005
113	164	2000
114	166	2002
115	167	2000
116	168	1997
117	170	1992
118	171	1988
119	172	1987
120	174	1983
121	175	1979
122	176	1978
123	178	1975
124	179	1976
125	181	1975
126	182	1971
127	183	1969
128	184	1964
129	186	1965
130	187	1962
131	188	1958
132	190	1956
133	191	1956
134	193	1955
135	194	1953
136	195	1949
137	197	1946
138	198	1943
139	199	1942
140	201	1939
141	203	1944
142	204	1940
143	205	1936
144	207	1934
145	208	1932
146	209	1932
147	211	1930
148	212	1928
149	214	1927
150	215	1925
151	216	1922
152	218	1919
153	220	1923
154	221	1924
155	223	1924
156	224	1922
157	226	1923
158	227	1921
159	229	1921
160	230	1918
161	231	1914
162	233	1911
163	234	1910
164	236	1909
165	237	1907
166	238	1904
167	240	1903
168	241	1901
169	243	1902
170	244	1900
171	246	1901
172	247	1900
173	249	1900
174	251	1901
175	252	1899
176	254	1900
177	255	1901
178	257	1899
179	258	1898
180	260	1897
181	261	1895
182	263	1894
183	264	1891
184	265	1889
185	267	1887
186	268	1885
187	269	1882
188	271	1880
189	272	1879
190	274	1879
191	275	1876
192	277	1875
193	278	1872
194	279	1870
195	281	1872
196	283	1872
197	284	1870
198	285	1869
199	287	1866
200	288	1864
201	289	1862
202	291	1859
203	292	1856
204	293	1854
205	294	1851
206	295	1848
207	297	1847
208	298	1845
209	300	1843
210	301	1840
211	302	1837
212	303	1836
213	305	1834
214	306	1832
215	307	1830
216	310	1833
217	311	1829
218	312	1827
219	313	1826
220	315	1825
221	316	1823
222	317	1820
223	319	1818
224	320	1815
225	322	1817
226	323	1815
227	325	1813
228	326	1810
229	327	1808
230	328	1805
231	329	1803
232	331	1802
233	332	1799
234	333	1797
235	335	1794
236	336	1792
237	337	1791
238	339	1789
239	340	1789
240	342	1787
241	343	1788
242	345	1786
243	346	1784
244	348	1784
245	349	1780
246	350	1779
247	352	1778
248	353	1777
249	355	1776
250	356	1773
251	357	1772
252	359	1771
253	361	1770
254	362	1769
255	363	1767
256	365	1767
257	366	1764
258	368	1767
259	370	1768
260	372	1767
261	374	1767
262	375	1767
263	377	1766
264	378	1764
265	379	1761
266	381	1760
267	382	1759
268	384	1758
269	385	1758
270	387	1756
271	388	1753
272	389	1752
273	391	1751
274	392	1749
275	393	1746
276	395	1745
277	396	1743
278	398	1742
279	399	1740
280	400	1738
281	402	1737
282	403	1736
283	405	1736
284	407	1736
285	408	1736
286	410	1734
287	412	1733
288	413	1732
289	414	1731
290	416	1729
291	417	1727
292	419	1727
293	420	1725
294	422	1723
295	423	1721
296	424	1719
297	425	1718
298	427	1715
299	428	1715
300	429	1712
301	431	1710
302	432	1710
303	434	1709
304	435	1708
305	437	1706
306	438	1704
307	439	1702
308	441	1700
309	442	1699
310	443	1696
311	445	1694
312	446	1692
313	447	1689
314	448	1688
315	450	1686
316	451	1684
317	452	1682
318	453	1679
319	454	1677
320	456	1676
321	457	1675
322	459	1674
323	460	1672
